*** Config ***
RB DL #0;25
RB UL #0;25
CAPS;1
Max UE;1
Power on duration;20
Power off duration;10
UE;10

*** Scripts ***
UE ID;Name;Type;Start;Stop;Status;Result
222.684;32287;40762;0;0;1;0;0;1
223.796;13868;46790;0;0;1;0;0;1
224.903;14296;45191;0;0;1;0;0;1
226.014;18609;39531;0;0;1;0;0;1
227.024;411;0;0;0;1;0;0;0
228.130;376;0;0;0;1;0;0;0
229.242;374;1913;0;0;1;0;0;1
230.352;2673;6335;0;0;1;0;0;1
231.462;16360;16669;0;0;1;0;0;1
232.573;8086;8792;0;0;1;0;0;1
233.684;8920;9532;0;0;1;0;0;1
234.796;86523;7524;0;0;1;0;0;1
235.903;235234;16801;0;0;1;0;0;1
237.016;311597;19244;0;0;1;0;0;1
238.084;81722;6411;0;0;1;0;0;1
239.190;313504;19544;0;0;1;0;0;1
240.296;79566;5576;0;0;1;0;0;1
241.406;78962;7704;0;0;1;0;0;1
242.517;431;755;0;0;1;0;0;1
243.629;648;871;0;0;1;0;0;1
244.739;432;0;0;0;1;0;0;0
245.851;432;0;0;0;1;0;0;0
246.961;432;871;0;0;1;0;0;1
248.027;675;1846;0;0;1;0;0;1
249.133;412;839;0;0;1;0;0;1
250.239;10965;13381;0;0;1;0;0;1
251.350;8194;8640;0;0;1;0;0;1
252.461;16014;17483;0;0;1;0;0;1
253.571;8900;2556;0;0;1;0;0;1
254.683;78862;6091;0;0;1;0;0;1
255.793;157105;13688;0;0;1;0;0;1
257.467;157006;12705;0;0;1;0;0;1
258.574;79450;6012;0;0;1;0;0;1
259.684;79150;6048;0;0;1;0;0;1
260.796;79567;6624;0;0;1;0;0;1
261.905;11455;22672;0;0;1;0;0;1
263.015;14745;28367;0;0;1;0;0;1
264.024;28051;31706;0;0;1;0;0;1
265.130;9177;32831;0;0;1;0;0;1
266.239;23870;37790;0;0;1;0;0;1
267.354;430;953;0;0;1;0;0;1
268.465;432;0;0;0;1;0;0;0
269.575;432;958;0;0;1;0;0;1
270.685;2541;5191;0;0;1;0;0;1
271.797;16734;17375;0;0;1;0;0;1
272.907;8086;9066;0;0;1;0;0;1
274.017;8079;8028;0;0;1;0;0;1
275.129;8914;3312;0;0;1;0;0;1
276.239;259;756;0;0;1;0;0;1
277.350;259;1800;0;0;1;0;0;1
278.457;259;0;0;0;1;0;0;0
279.569;259;756;0;0;1;0;0;1
280.678;389;0;0;0;1;0;0;0
281.788;259;756;0;0;1;0;0;1
282.895;8593;32585;0;0;1;0;0;1
284.000;12368;47443;0;0;1;0;0;1
285.022;40923;52602;0;0;1;0;0;1
